Date,New Cases Reported,Total Active Cases,Recovered Cases,Deaths,Hospitalized Cases,ICU Cases,Tested Cases,Positivity Rate (%),Cases (1-day lag),Cases (7-day lag),Cases (14-day lag),Moving Avg (7 days),Moving Avg (14 days),Growth Rate (%),Day of the Week,Month,Holiday/Event Indicator,Temperature (°C),Humidity (%),Rainfall (mm),Air Quality Index (AQI),Mobility Index
2024-01-01,549,4754,450,7,63,7,4941,11.11111111111111,560.1024282894043,594.6927380840117,391.0805324210373,577.3975831867081,492.88663525252446,-1.9822139181420766,0,1,0,34.39819704323989,63.29770563201687,0.0,87,0.6821418490783333
2024-01-02,486,2431,436,10,78,7,2430,20.0,465.7074724272497,507.7442027340306,380.8764097661354,486.72583758064013,444.310306250083,4.3573549436487315,1,1,0,20.842892970704362,44.65447373174767,0.0,239,0.7635246756608973
2024-01-03,522,3608,468,10,97,22,2610,20.0,476.5913863076632,615.727300178496,667.8359527589521,546.1593432430795,641.781626468724,9.527787324092198,2,1,0,31.16794696232922,42.18455076693483,0.0,102,0.7790113207999667
2024-01-04,423,2603,316,10,68,18,2961,14.285714285714285,457.62850601586496,382.18557288672287,464.24815576904064,419.90703945129394,423.21686432788175,-7.5669468926536805,3,1,0,21.23422152178822,50.80272084711243,0.0,155,0.7706484938394236
2024-01-05,453,4172,357,8,87,21,3624,12.5,411.79759237529476,421.3498559343035,422.74248733760123,416.57372415479915,422.04617163595236,10.005499883339562,4,1,0,20.426980635477918,63.14950036607718,0.0,203,0.7347093156262782
2024-01-06,506,4972,415,7,65,8,2530,20.0,555.2729579839724,561.1023413056434,414.5300809137747,558.187649644808,487.8162111097091,-8.873646244698751,5,1,0,15.110442342472048,62.618457138193364,0.0,130,0.7274723491937348
2024-01-07,593,4761,524,13,113,30,4744,12.5,572.9445057475242,489.4760406878449,525.7475100664326,531.2102732176845,507.61177537713877,3.500425268291782,6,1,0,21.503666440534943,59.18424713352256,0.0,153,0.7553739938984024
2024-01-08,567,3613,460,10,111,29,5103,11.11111111111111,573.948834204381,628.4553564136944,564.8892618831658,601.2020953090378,596.67230914843,-1.21070621460772,0,1,0,25.45465658763988,47.101640734341984,0.0,91,0.6092126127363955
2024-01-09,361,3421,287,7,61,7,3249,11.11111111111111,363.87652679198084,318.1220408517007,456.92208338285866,340.9992838218408,387.5220621172797,-0.790522768077666,1,1,0,26.97730932977072,57.79139732158818,0.0,77,0.7861648149980228
2024-01-10,471,4544,405,10,88,22,3768,12.5,463.1352370893885,543.2100007803148,421.3599029360904,503.17261893485164,482.2849518582026,1.6981568839456567,2,1,0,17.441759094013467,44.251913523079,0.0,239,0.7321597059381821
2024-01-11,474,3382,409,12,47,9,2370,20.0,472.5618812848316,510.4858718359952,408.4208677322995,491.52387656041344,459.45336978414736,0.3043238932557046,3,1,0,19.882510444955486,36.73164168691722,0.0,209,0.7492725768626484
2024-01-12,463,3516,389,7,91,26,2778,16.666666666666664,482.65625662700336,397.82569942736967,601.2723067465961,440.24097802718654,499.5490030869829,-4.072516694255496,4,1,0,20.335620285505698,69.06459823330611,0.0,269,0.6623143479164458
2024-01-13,480,2747,382,14,59,13,3360,14.285714285714285,467.4868277818949,430.49470814926576,567.30424983741,448.9907679655803,498.8994789933379,2.676689796261623,5,1,0,24.406012688920768,69.33692563579372,0.0,263,0.8691307044554685
2024-01-14,530,4069,380,14,70,9,4770,11.11111111111111,567.9860333102544,493.1032879027996,441.0366531258444,530.544660606527,467.069970514322,-6.687846369895688,6,1,1,29.22299064876036,62.380041845588615,0.0,197,0.9778809851125436
2024-01-15,393,3322,305,11,44,7,1965,20.0,370.1330293899843,399.5156214856934,439.16596136557035,384.82432543783887,419.3407914256319,6.178041080987211,0,1,0,19.571000435945994,36.99819708383745,0.0,161,0.6003287514224899
2024-01-16,547,4253,440,8,59,16,4923,11.11111111111111,588.8604159449138,478.8891153050938,474.42557792075405,533.8747656250039,476.6573466129239,-7.108716227383459,1,1,0,29.007156599455428,63.866445689532235,0.0,197,0.6752829925041388
2024-01-17,525,4310,376,6,99,21,3675,14.285714285714285,511.5896904889831,617.4280229161335,674.204108577925,564.5088567025583,645.8160657470293,2.6213017502755376,2,1,0,20.678419494749313,42.21455441377574,0.0,243,0.7141522961918148
2024-01-18,534,4517,443,7,91,13,4806,11.11111111111111,499.698265344838,505.4777323868989,612.2322355873226,502.5879988658684,558.8549839871107,6.864489439740332,3,1,0,29.418798485042586,42.32243167409557,0.0,225,0.6957409715931046
2024-01-19,475,3004,355,13,66,18,3325,14.285714285714285,468.7674647234907,446.51489746198837,516.354458178711,457.64118109273954,481.43467782034963,1.32955798888168,4,1,0,28.378481193261994,64.56670260287612,0.0,110,0.7724152285153194
2024-01-20,424,3178,345,10,44,13,3816,11.11111111111111,405.30671698436515,489.04058617635746,487.0196560795021,447.1736515803613,488.03012112792976,4.612132548584421,5,1,0,34.06143694047906,43.230012186820545,0.0,95,0.7210810571912334
2024-01-21,454,3144,395,7,53,11,2724,16.666666666666664,493.04552860082356,375.98756936227716,374.70945867842414,434.5165489815504,375.34851402035065,-7.919254173469111,6,1,0,28.42287033648101,44.34587125184656,0.0,176,0.8107646881267451
2024-01-22,577,4380,505,14,97,23,5193,11.11111111111111,553.517270576956,558.4854216678006,492.59884387240135,556.0013461223782,525.5421327701009,4.242456499788509,0,1,0,27.23027421731361,33.26376721600961,0.0,184,0.7025958699641814
2024-01-23,643,5304,540,16,121,20,5144,12.5,653.142025562272,627.175544440252,709.367682996888,640.158785001262,668.27161371857,-1.552805540807303,1,1,0,21.563053349494638,36.20166466910977,0.0,239,0.6562785964344326
2024-01-24,500,3216,409,5,51,13,3500,14.285714285714285,462.7060512651885,504.44865201096087,580.9980659295833,483.5773516380747,542.7233589702721,8.059965637544131,2,1,0,19.316420549936865,54.915619032760006,0.0,245,0.7644456225154022
2024-01-25,460,3246,386,5,52,15,2760,16.666666666666664,443.71199551059465,514.3142598374415,396.74970134833245,479.01312767401805,455.53198059288695,3.670850608999693,3,1,0,23.779428414112722,33.13825525369064,0.0,278,0.7505697311764413
2024-01-26,543,3215,388,10,91,10,3258,16.666666666666664,505.68906283407995,488.7527574813501,559.038047361254,497.220910157715,523.895402421302,7.378236926227931,4,1,0,29.291918454001248,56.40789506870925,0.0,166,0.7465718374663662
2024-01-27,527,4366,414,12,55,11,3689,14.285714285714285,554.1769800429445,424.63414740315255,405.6021689282869,489.40556372304854,415.1181581657197,-4.904025432604304,5,1,0,15.920052840435055,31.629152092758805,0.0,287,0.8752384956539112
2024-01-28,724,7165,532,7,127,33,5792,12.5,676.6796307629702,704.843437619317,679.910456622219,690.7615341911436,692.376947120768,6.99302403763434,6,1,0,27.31700196104433,55.40374603470575,0.0,83,0.8445569201243043
2024-01-29,500,3848,418,11,97,28,4000,12.5,508.5775581273464,588.0460482849916,522.6422533627637,548.311803206169,555.3441508238776,-1.6865781807066254,0,1,0,22.763398524130437,55.73152873769413,0.0,210,0.6463682583429453
2024-01-30,575,5207,496,12,104,23,4025,14.285714285714285,540.0159805007692,475.95309920128807,437.26841047521214,507.9845398510286,456.6107548382501,6.478330412886922,1,1,0,15.364436513030995,33.77771843023714,0.0,84,0.7411125423299383
2024-01-31,623,4315,521,10,78,15,3738,16.666666666666664,647.5134508043733,655.132557417547,764.0990386564124,651.3230041109601,709.6157980369796,-3.78578248435171,2,1,0,29.701420876077716,62.13923721539394,0.0,298,0.6615405626779688
2024-02-01,370,2863,290,7,58,14,2960,12.5,360.529338348666,410.90911818981556,334.65838593616996,385.7192282692408,372.7837520629928,2.6268768291403197,3,2,0,33.61514651207129,64.33651007372048,0.0,162,0.6484349300694942
